online time usage/s (senderDB 2_20 label byte 128 item byte 16 N 8192 Thread 1)
scheme,2^0,2^6,2^7,2^8,2^9,2^10,2^11,2^12
Our Scheme,34.327,35.063,35.801,36.321,37.889,34.353,48.796,85.707
APSI,2.600,15.387,15.588,15.568,139.333,112.308,124.182,94.718
